A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F066_EVS5,F034,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,G027A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,V097EF,W005_EVS5,X047E_EVS5
1,1,2,3,2,4,2,2,8,10,2,1,2,5,2,4,1,3,4,1,1,2,1,2,1,2,2,2,2,4,4,4,4,3,1,4,1,2,3,1,3,2,2,2,3,5,4,3,3,2,3,3,2,2,1,3,4,2,2,3,3,3,2,2,2,8,3,2,4,1,20802,0,0,0,0,0,0,0,0,0,10,9,2,1,0,0,0,0,0,0,0,0,0,8,7,2,1,2,2,1,1,10,5,9,10,8,2,10,1,5,2,2,2,1,1,2,2,2,1,2,2,1984,33,2,1,1,0,2,6,3,0,0,5,3,6,3,1,2,2,24,2,52,9
1,2,2,3,2,4,2,3,8,7,1,1,2,4,2,4,1,5,3,1,3,3,1,2,2,3,2,2,2,4,4,4,4,1,3,4,1,2,2,1,3,2,3,3,3,7,7,4,5,2,2,3,3,3,2,3,3,2,2,4,4,3,2,2,2,8,3,2,4,1,20805,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,7,7,1,5,1,7,1,1,10,7,10,10,7,1,9,1,1,1,3,2,2,2,2,1,1,3,4,1,1979,38,1,1,1,2,4,2,1,6,3,6,3,2,1,1,1,2,33,2,32,10
1,2,2,3,1,4,2,1,9,10,1,3,3,3,1,1,4,2,3,1,1,1,1,2,1,2,2,2,2,3,4,3,4,2,1,4,1,2,3,1,2,2,3,3,3,9,10,1,1,2,2,2,4,4,1,1,3,2,2,2,3,3,4,3,1,6,2,3,4,1,20806,0,0,0,0,0,0,0,0,0,10,3,1,1,0,0,0,0,0,0,0,0,2,8,7,1,1,1,1,1,1,3,1,6,6,9,5,4,1,8,1,1,2,2,2,1,1,1,1,2,2,1961,56,1,1,1,3,2,6,3,6,3,2,1,6,3,3,1,0,32,1,83,7
1,1,1,3,2,3,1,1,9,9,1,1,2,4,3,3,2,3,4,2,2,4,1,1,1,2,2,2,2,4,4,4,3,1,3,4,1,2,3,1,3,1,2,3,2,5,5,5,5,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,4,1,20802,0,0,0,0,0,0,0,0,0,9,10,2,1,0,0,0,0,0,0,0,0,2,6,6,1,3,1,2,1,1,10,1,10,10,5,4,8,1,1,1,3,2,3,2,2,2,2,4,3,2,1982,35,1,1,1,1,3,7,3,7,3,3,2,6,3,1,1,1,22,1,22,8
2,3,3,2,3,3,2,3,8,6,1,2,2,4,2,4,3,3,3,4,2,2,1,1,1,2,2,2,4,3,4,3,3,3,1,1,4,2,3,1,2,2,2,2,3,8,8,3,8,4,3,3,3,4,3,3,2,2,2,3,3,2,3,2,4,8,3,3,3,2,20807,0,0,0,0,0,0,0,0,0,8,8,1,1,0,0,0,0,0,0,0,0,0,8,7,2,1,1,1,1,1,9,7,9,9,7,6,6,1,5,3,4,3,3,3,3,2,3,4,4,1,1939,78,1,1,1,0,2,5,3,3,2,2,1,3,2,4,4,3,26,6,43,4
1,1,1,3,2,4,2,1,9,5,1,2,3,3,3,3,2,4,4,2,1,2,1,1,1,2,2,2,2,3,4,4,3,1,4,1,4,2,2,1,3,1,3,3,3,6,5,0,5,3,3,3,3,2,2,3,2,2,2,2,3,3,3,2,2,8,3,4,4,2,20807,0,0,0,0,0,0,0,0,0,9,7,1,1,0,0,0,0,0,0,0,0,2,8,7,2,1,1,1,1,1,10,1,8,10,9,2,7,1,3,1,3,2,2,2,2,1,2,2,2,1,1969,48,1,3,1,2,1,3,2,0,0,1,1,1,1,1,0,2,52,3,0,5
1,1,2,3,2,4,2,1,7,6,2,2,2,5,1,1,3,3,3,2,1,2,1,2,1,4,3,3,1,4,4,4,4,1,3,2,1,2,3,3,2,1,3,3,3,4,8,3,5,2,2,1,4,1,1,4,3,3,3,3,4,2,4,1,3,6,4,4,4,1,20805,0,0,0,0,0,0,0,0,0,8,9,1,1,0,0,0,0,0,0,0,0,2,4,5,1,5,2,1,2,1,5,1,5,5,5,1,1,1,1,1,1,3,4,1,1,2,1,3,1,2,1994,23,1,6,1,4,4,5,3,3,2,3,2,2,1,1,1,2,52,3,0,7
1,1,1,2,1,3,1,2,9,5,2,2,2,4,1,1,5,1,4,1,1,1,1,1,1,2,3,2,1,2,3,3,2,1,3,1,2,2,3,1,2,2,3,2,3,7,9,8,9,9,3,3,2,1,1,2,2,1,1,3,2,2,2,1,1,8,2,3,4,1,20801,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,6,6,1,2,1,1,1,1,1,5,10,9,10,1,1,1,10,1,3,1,1,1,1,1,1,3,1,1,1937,81,1,1,1,2,2,1,1,2,1,1,1,1,1,4,4,2,81,8,53,3
1,2,2,3,2,3,2,2,10,9,2,1,2,5,1,2,3,3,2,2,2,3,1,2,1,2,3,3,2,3,3,1,3,4,3,1,3,1,3,1,3,2,2,2,2,8,10,2,3,2,2,2,2,3,1,2,2,2,2,2,3,2,2,2,2,7,4,2,3,2,20805,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,7,5,1,6,1,2,3,2,9,6,9,10,8,4,10,1,3,1,2,3,3,2,2,1,1,3,2,1,1976,41,1,1,1,2,4,3,2,6,3,1,1,3,2,1,2,2,21,10,26,8
1,2,2,2,4,3,2,2,8,6,2,2,3,3,1,2,3,4,4,2,2,2,1,2,1,2,2,2,3,3,3,3,3,1,3,1,4,2,1,1,2,3,3,3,3,6,6,8,8,6,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,5,4,3,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,4,7,1,1,1,1,1,1,8,1,10,10,10,10,6,1,1,2,2,2,3,1,1,1,2,2,2,2,1941,76,1,3,1,2,1,0,0,0,0,1,1,3,2,4,0,1,33,6,0,5
