A001,A002,A003,A004,A005,A006,A008,A009,A170,A173,A165,B008,C001,C001_01,C002,C002_01,D081,D026_03,D026_05,C038,C039,C041,D001_B,G007_18_B,G007_33_B,G007_34_B,G007_35_B,G007_36_B,D054,D059,D060,D061,D078,E001,E002,E003,E004,Y002,E015,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_18A,E069_18,E069_11,E069_12,E069_13,E069_14,E069_17,E069_20,E111_01,E114,E115,E116,E117,E181_EVS5,E224,E225,E226,E227,E228,E229,E233,E233A,E233B,E235,E236,E263,E264,E265_01,E265_02,E265_03,E265_04,E265_05,E265_06,E265_07,E265_08,F025,F028,F066_EVS5,F034,F063,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,F132,E290,F144_02,G006,G052,G062,G063,G255,G256,G257,H009,H010,H011,X001,X002,X003,G027A,X007,x026_01,X011,X013,X025A_01,X025R,W002A_01,W002R,V004AM_01,V004RM,V004AF_01,V004RF,X028,W003,X052,X035_EVS5,V097EF,W005_EVS5,X047E_EVS5
1,1,1,2,4,2,2,4,1,9,1,1,3,3,3,3,2,4,4,0,1,0,1,1,1,0,0,0,2,4,4,3,4,3,1,0,0,0,1,2,2,2,3,2,3,7,10,5,4,3,2,0,3,2,0,2,2,3,3,3,4,3,2,1,3,9,4,2,4,1,20802,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,3,7,1,8,1,1,1,1,10,3,10,10,9,4,9,1,5,1,3,0,1,2,2,1,2,4,4,2,1938,79,1,5,1,2,1,2,1,0,0,1,1,3,2,4,0,0,75,6,0,1
1,2,2,3,2,1,3,1,7,7,1,1,2,5,3,3,3,3,3,2,2,2,1,2,1,2,2,1,3,3,3,3,3,3,1,1,2,2,3,1,2,2,2,3,2,7,6,5,4,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,2,9,4,2,4,1,20805,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,2,2,1,9,1,2,9,1,9,7,7,10,8,1,6,1,2,2,2,2,2,1,1,1,1,1,2,2,1971,46,1,3,1,4,3,6,3,0,0,6,3,6,3,1,0,1,22,5,0,6
1,2,2,2,1,4,2,2,9,9,1,1,2,5,1,2,3,2,5,2,2,2,1,2,2,3,3,3,4,4,4,3,4,1,3,2,1,2,1,1,2,3,2,2,3,7,9,3,3,1,2,2,3,3,2,2,3,2,2,3,3,2,2,1,2,8,3,2,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,2,1,0,0,0,0,0,0,0,0,2,8,7,3,1,1,1,1,1,10,8,10,10,8,6,9,1,3,2,3,2,2,3,2,1,2,3,3,1,1967,50,1,4,1,3,1,5,3,0,0,3,2,5,3,1,0,2,24,4,0,8
1,1,1,2,2,3,1,2,10,8,1,1,2,5,3,3,3,3,4,2,2,1,1,1,1,2,0,2,3,3,4,3,4,1,3,1,4,2,3,3,2,2,2,2,3,8,7,5,8,2,2,2,3,3,2,2,3,2,2,3,3,3,3,2,2,9,3,3,4,2,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,4,6,1,6,1,1,1,1,8,1,10,10,6,1,1,1,1,1,3,1,1,2,1,1,2,4,3,2,1950,67,1,1,1,2,2,6,3,2,1,1,1,3,2,4,4,2,24,4,52,6
1,1,1,2,2,4,2,1,9,7,1,1,2,4,1,2,0,4,4,3,2,2,1,2,1,2,2,2,3,2,3,3,2,3,0,1,2,2,0,0,2,0,0,1,0,6,3,5,5,5,0,0,2,2,2,2,3,3,3,2,3,0,0,2,2,7,4,4,4,1,0,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,8,0,0,0,1,1,1,1,0,2,0,10,2,0,0,1,1,2,2,2,2,1,1,1,1,4,4,2,1958,59,1,6,1,0,2,2,1,3,2,1,1,1,1,2,4,1,53,10,71,7
1,2,2,3,2,4,2,2,5,4,1,2,2,5,2,4,2,5,4,3,1,2,1,2,1,2,2,2,3,4,4,4,4,1,4,4,1,2,3,1,4,3,2,2,1,4,8,5,3,3,4,3,4,3,2,2,3,3,3,3,4,4,3,2,3,7,2,3,4,1,20802,0,0,0,0,0,0,0,0,0,10,9,2,1,0,0,0,0,0,0,0,0,2,8,7,2,1,1,1,2,1,10,1,10,8,3,2,6,1,1,1,3,1,2,2,3,1,2,2,3,2,1957,60,1,5,1,2,2,7,3,7,3,1,1,2,1,1,1,1,22,4,22,9
1,1,1,3,2,3,2,2,9,9,1,1,2,5,2,5,1,5,4,4,3,4,1,1,1,1,1,1,4,4,4,4,4,3,1,4,2,3,1,3,3,2,2,1,2,2,3,5,3,6,1,1,2,2,1,2,2,3,3,3,3,2,2,2,2,7,4,2,4,1,20809,0,0,0,0,0,0,0,0,0,10,7,1,1,0,0,0,0,0,0,0,0,2,6,7,1,1,1,1,1,1,10,6,10,10,8,3,9,1,1,1,4,3,3,2,2,2,2,4,4,2,1968,49,1,1,1,2,3,6,3,5,3,6,3,3,2,1,1,1,23,2,21,9
1,1,2,2,1,4,1,2,9,8,1,1,2,4,1,2,3,4,5,3,2,2,1,1,1,2,2,2,3,3,4,4,2,1,3,1,4,2,1,1,2,1,2,2,2,7,8,2,3,2,3,2,2,2,1,1,2,2,2,1,2,2,2,1,2,10,4,2,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,0,7,7,2,2,2,2,1,1,10,7,10,10,10,3,10,1,4,1,4,2,2,2,2,1,1,3,2,1,1985,32,1,1,1,4,4,6,3,5,3,5,3,5,3,1,1,2,21,3,32,9
1,1,2,2,1,3,2,4,5,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,2,1,3,3,1,3,1,3,1,4,2,3,1,2,1,3,0,3,10,5,1,1,1,1,2,3,3,2,4,2,3,3,4,3,3,3,3,4,5,1,4,4,1,20807,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,6,5,1,5,1,1,1,1,7,7,5,5,10,1,1,1,1,1,3,1,1,1,1,1,1,4,4,2,1940,77,1,1,1,3,2,3,2,3,2,1,1,3,2,4,4,2,52,6,72,1
1,3,3,2,3,2,3,1,7,7,2,2,3,3,0,0,0,4,4,4,3,3,1,2,2,2,2,3,0,2,0,0,2,1,3,1,4,2,3,1,2,0,3,3,3,6,0,8,6,6,2,0,4,3,3,3,3,4,4,4,3,3,3,3,3,10,4,0,4,1,20801,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,2,1,1,9,1,1,1,1,5,1,5,5,6,1,1,1,1,0,2,1,0,1,1,1,2,2,0,2,1937,82,1,5,1,3,1,1,1,0,0,1,1,1,1,4,0,0,0,10,0,2
1,1,2,1,4,3,2,1,10,6,1,3,2,5,1,1,1,2,4,1,1,1,1,2,1,2,2,2,1,3,4,3,4,4,1,1,4,2,3,1,2,3,2,1,2,6,9,6,9,9,2,1,1,2,1,3,2,3,3,3,3,4,2,3,1,5,4,4,4,1,20801,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,4,5,1,1,1,1,1,1,10,1,5,6,10,1,1,1,1,1,3,1,1,1,1,1,1,2,2,2,1944,73,1,1,1,1,2,1,1,3,2,1,1,1,1,4,4,3,51,7,72,2
2,3,2,1,2,4,1,1,10,10,1,1,2,5,2,4,1,5,5,4,2,4,1,1,1,2,2,1,4,4,4,4,4,1,3,4,1,2,1,2,1,1,2,2,2,6,3,5,5,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,10,4,4,4,1,20801,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,6,7,2,2,1,1,2,1,10,10,10,10,10,10,10,1,1,1,2,2,3,4,3,2,3,3,3,1,1968,49,1,1,1,2,2,6,3,8,3,6,3,7,3,1,1,1,23,1,22,10
1,1,1,1,1,3,2,3,10,6,2,2,3,3,1,2,4,3,4,3,2,3,1,2,2,2,2,3,3,3,3,4,3,0,0,0,0,0,3,3,2,1,1,2,2,1,0,0,5,0,3,2,3,2,1,2,2,0,0,3,0,0,0,0,0,9,3,3,3,1,20801,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,8,6,1,3,1,1,1,1,10,10,10,10,10,1,1,1,1,2,3,3,3,2,2,2,4,2,2,2,1963,54,1,1,1,2,2,2,1,3,2,1,1,0,1,2,3,2,53,8,71,6
2,1,1,1,3,4,2,3,7,4,2,1,2,5,1,2,1,1,3,2,1,5,1,3,1,2,2,2,2,4,4,4,4,3,4,3,2,2,1,3,1,1,1,1,2,1,1,10,10,10,4,2,2,1,2,2,2,2,2,3,1,4,1,1,1,4,4,2,4,1,20809,0,0,0,0,0,0,0,0,0,10,7,1,1,0,0,0,0,0,0,0,0,0,8,7,3,1,2,5,1,1,10,10,10,10,10,7,10,6,1,3,5,3,2,2,2,3,3,4,4,1,1993,24,1,6,1,0,1,6,3,0,0,3,2,3,2,6,0,1,23,5,0,1
1,2,2,2,2,3,2,1,8,7,2,2,2,5,2,4,1,3,2,2,1,1,1,2,1,2,2,2,2,4,4,4,4,3,1,4,1,2,3,1,2,2,3,2,2,5,6,4,6,3,3,1,4,2,1,2,2,2,2,2,2,3,2,1,2,8,3,3,4,2,20809,0,0,0,0,0,0,0,0,0,8,10,1,1,0,0,0,0,0,0,0,0,9,4,6,2,2,2,2,2,1,10,1,5,6,6,1,5,3,1,2,3,2,2,2,2,2,2,4,3,2,1990,27,1,6,1,0,0,5,3,0,0,5,3,5,3,1,0,1,54,3,0,5
1,2,2,4,2,4,1,3,9,9,2,3,2,5,3,3,2,5,4,2,2,2,1,4,3,4,0,0,3,4,4,4,4,1,0,0,0,0,3,1,4,3,0,3,0,8,7,4,3,2,0,2,2,2,1,2,2,2,2,3,3,3,3,1,2,8,4,4,4,1,20805,0,0,0,0,0,0,0,0,0,10,10,1,1,0,0,0,0,0,0,0,0,2,4,7,2,1,1,1,1,1,10,6,10,10,6,6,6,1,7,1,3,3,3,2,3,1,1,4,3,2,1965,52,1,3,1,2,1,5,3,0,0,3,2,1,1,1,0,1,24,4,0,5
1,1,2,3,0,3,2,2,9,8,1,1,2,4,3,3,1,4,4,3,2,3,1,2,1,2,2,2,3,3,4,3,3,0,0,0,0,0,1,1,3,1,0,1,0,8,10,1,9,0,2,2,3,2,2,3,3,0,0,3,0,0,2,1,0,9,1,2,0,1,20801,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,2,4,5,1,0,1,1,1,1,7,6,8,10,10,9,8,1,1,2,4,3,3,2,1,1,1,4,0,2,1943,74,1,5,1,2,1,3,2,0,0,1,1,1,1,4,0,0,0,8,0,0
1,1,1,2,0,2,2,1,0,0,1,1,2,4,1,1,3,4,4,0,0,0,1,2,1,2,3,2,3,3,3,3,3,4,0,0,0,0,3,3,2,2,3,3,3,5,7,4,5,3,2,2,3,3,2,2,3,2,2,2,3,3,3,2,4,7,0,2,3,2,20807,0,0,0,0,0,0,0,0,0,10,8,1,1,0,0,0,0,0,0,0,0,0,3,1,1,7,1,1,1,1,7,1,8,5,5,2,2,1,1,1,2,1,1,1,2,1,1,3,3,2,1938,79,1,1,1,3,2,3,2,3,2,1,1,3,2,4,4,0,52,10,14,0
1,2,2,3,2,3,2,2,8,6,2,2,2,4,2,4,2,4,3,3,2,3,1,2,1,3,2,2,2,3,3,3,3,1,4,1,4,2,3,3,3,3,3,0,1,7,5,5,5,5,3,2,3,2,3,3,3,3,3,4,4,4,4,3,3,6,2,2,3,3,20801,0,0,0,0,0,0,0,0,0,8,7,1,2,0,0,0,0,0,0,0,0,2,7,6,1,4,1,1,1,1,9,1,7,7,8,1,1,1,2,2,3,3,3,2,2,2,2,3,2,2,1963,54,1,1,1,2,2,0,0,2,1,1,1,1,1,1,7,2,33,3,71,6
1,1,3,3,2,3,2,2,9,9,1,2,2,5,1,2,1,5,3,1,1,2,1,2,1,2,2,2,2,4,4,4,3,1,4,1,3,1,3,3,3,1,2,2,2,6,8,5,4,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,9,3,3,4,1,20808,0,0,0,0,0,0,0,0,0,10,9,1,1,0,0,0,0,0,0,0,0,2,4,6,2,2,2,2,2,1,10,2,7,9,8,3,8,2,3,2,4,4,4,3,4,4,1,4,4,2,1991,26,1,6,1,0,2,6,3,3,2,5,3,2,1,1,1,2,51,3,33,6
